latitude,longitude,marker,Acc Y (g),Temp Data,HRot Count,Speed,Samples,Heading GPS (dg),Speed GPS,Accuracy GPS,Altitude GPS,RSSI dBm,HH:mm:ss,SSS
,,4,1.354,0,0,-2,0,,,,,-67,16:13:13,104
,,3,1.123,0,0,-1,1,,,,,,,
,,3,0.797,0,0,0,2,,,,,,,
,,3,0.477,0,0,0,3,,,,,,,
,,3,0.433,0,0,0,4,,,,,,,
,,3,0.286,0,0,0,5,,,,,,,
,,3,0.231,0,0,0,6,,,,,,,
,,3,0.007,0,0,0,7,,,,,,,
,,3,-0.283,0,0,0,8,,,,,,,
,,3,-0.341,0,0,0,9,,,,,,,
,,3,-0.524,0,0,0,10,,,,,-67,16:13:13,315
,,3,-0.539,0,0,0,11,,,,,,,
,,3,-0.765,0,0,0,12,,,,,,,
,,3,-0.973,0,0,0,13,,,,,,,
,,3,-0.933,0,1,0,14,,,,,,,
,,3,-0.99,0,1,0,15,,,,,,,
,,3,-1.177,0,1,0,16,,,,,,,
,,3,-1.032,0,1,0,17,,,,,,,
,,3,-1.157,0,1,0,18,,,,,,,
,,3,-0.671,0,1,0,19,,,,,,,
,,3,-0.713,0,1,0,20,,,,,-67,16:13:13,559
,,3,-0.794,0,1,0,21,,,,,,,
,,3,-0.524,0,1,0,22,,,,,,,
,,3,-0.407,0,1,0,23,,,,,,,
,,3,0.094,0,1,0,24,,,,,,,
,,3,0.092,0,1,0,25,,,,,,,
,,3,0.598,0,1,0,26,,,,,,,
,,3,0.769,0,1,0,27,,,,,,,
,,3,0.559,0,1,0,28,,,,,,,
,,6,0.716,0,2,-1,29,,,,,,,
,,3,0.839,0,2,-1,30,,,,,-67,16:13:13,703
,,3,1.272,0,2,-1,31,,,,,,,
,,3,0.991,0,2,-1,32,,,,,,,
,,3,0.817,0,2,-1,33,,,,,,,
,,3,0.723,0,2,-1,34,,,,,,,
,,3,0.69,0,2,-1,35,,,,,,,
,,3,0.402,0,2,-1,36,,,,,,,
,,3,0.193,0,2,-1,37,,,,,,,
,,3,-0.001,0,2,-1,38,,,,,,,
,,3,-0.206,0,2,-1,39,,,,,,,
,,3,-0.478,0,2,-1,40,,,,,-67,16:13:14,075
,,3,-0.568,0,2,-1,41,,,,,,,
,,3,-0.642,0,2,-1,42,,,,,,,
,,6,-0.807,0,3,-1,43,,,,,,,
,,3,-0.874,0,3,-1,44,,,,,,,
,,3,-0.808,0,3,-1,45,,,,,,,
,,3,-0.854,0,3,-1,46,,,,,,,
,,3,-0.829,0,3,-1,47,,,,,,,
,,3,-1.018,0,3,-1,48,,,,,,,
,,3,-0.575,0,3,-1,49,,,,,,,
,,3,-0.724,0,3,-1,50,,,,,-67,16:13:14,209
,,3,-0.608,0,3,-1,51,,,,,,,
,,3,-0.42,0,3,-1,52,,,,,,,
,,3,-0.404,0,3,-1,53,,,,,,,
,,3,0.095,0,3,-1,54,,,,,,,
,,3,0.18,0,3,-1,55,,,,,,,
,,3,0.663,0,3,-1,56,,,,,,,
,,3,0.717,0,3,-1,57,,,,,,,
,,6,0.933,0,4,-1,58,,,,,,,
,,3,0.819,0,4,-1,59,,,,,,,
,,3,0.96,0,4,-1,60,,,,,-67,16:13:14,364
,,3,0.993,0,4,-1,61,,,,,,,
,,3,0.961,0,4,-1,62,,,,,,,
,,3,0.858,0,4,-1,63,,,,,,,
,,3,0.863,0,4,-1,64,,,,,,,
