latitude,longitude,marker,Acc Y (g),Temp Data,HRot Count,Speed,Samples,Heading GPS (dg),Speed GPS,Accuracy GPS,Altitude GPS,RSSI dBm,HH:mm:ss,SSS
52.34702306938422,4.831805430869237,2,,,,,,270,17,4,1,,03:34:13,446
52.34701923578644,4.831665351413615,3,-0.798,143,23,-1,270,269,17,4,2,,03:34:15,762
,,3,-0.831,143,23,-1,271,,,,,,,
,,3,-0.464,143,23,-1,272,,,,,,,
,,3,-0.324,143,23,-1,273,,,,,,,
,,3,-0.066,143,23,-1,274,,,,,,,
,,3,0.204,143,23,-1,275,,,,,,,
,,3,0.407,143,23,-1,276,,,,,,,
,,3,0.838,143,23,-1,277,,,,,,,
,,3,1.193,143,23,-1,278,,,,,,,
,,9,0.862,146,24,2192,279,,,,,,,
,,1,1.066,146,24,-1,280,,,,,,03:34:15,781
,,1,1.473,146,24,-1,281,,,,,,,
,,1,1.15,146,24,-1,282,,,,,,,
,,1,0.756,146,24,-1,283,,,,,,,
,,1,0.682,146,24,-1,284,,,,,,,
,,1,0.4,146,24,-1,285,,,,,,,
,,1,0.052,146,24,-1,286,,,,,,,
,,1,-0.223,146,24,-1,287,,,,,,,
,,1,-0.58,146,24,-1,288,,,,,,,
,,1,-0.574,146,24,-1,289,,,,,,,
,,7,-0.629,145,25,2192,290,,,,,,03:34:15,787
,,1,-1.055,145,25,-1,291,,,,,,,
,,1,-1.032,145,25,-1,292,,,,,,,
,,1,-0.626,145,25,-1,293,,,,,,,
,,1,-0.567,145,25,-1,294,,,,,,,
,,1,-0.613,145,25,-1,295,,,,,,,
,,1,-0.301,145,25,-1,296,,,,,,,
,,1,0.01,145,25,-1,297,,,,,,,
,,1,0.346,145,25,-1,298,,,,,,,
,,1,0.659,145,25,-1,299,,,,,,,
,,1,0.937,145,25,-1,300,,,,,,03:34:15,795
,,7,1.063,128,26,2212,301,,,,,,,
,,1,0.95,128,26,-1,302,,,,,,,
,,1,1.299,128,26,-1,303,,,,,,,
,,1,1.793,128,26,-1,304,,,,,,,
,,1,0.163,128,26,-1,305,,,,,,,
,,1,0.504,128,26,-1,306,,,,,,,
,,1,0.597,128,26,-1,307,,,,,,,
,,1,0.95,128,26,-1,308,,,,,,,
