latitude,longitude,marker,Acc Y (g),Temp Data,HRot Count,Speed,Samples,Heading GPS (dg),Speed GPS,Accuracy GPS,Altitude GPS,RSSI dBm,HH:mm:ss,SSS
52.36294440679962,4.911733432511084,4,0.225,0,0,-2,0,-1,0,24,4,-73,17:44:16,580
,,3,0.212,0,0,-1,1,,,,,,,
,,3,0.262,0,0,0,2,,,,,,,
,,3,0.26,0,0,0,3,,,,,,,
,,3,0.245,0,0,0,4,,,,,,,
,,3,0.272,0,0,0,5,,,,,,,
,,3,0.275,0,0,0,6,,,,,,,
,,3,0.255,0,0,0,7,,,,,,,
,,3,0.252,0,0,0,8,,,,,,,
,,3,0.261,0,0,0,9,,,,,,,
,,3,0.238,0,0,0,10,,,,,-73,17:44:16,791
,,3,0.269,0,0,0,11,,,,,,,
,,3,0.273,0,0,0,12,,,,,,,
,,3,0.254,0,0,0,13,,,,,,,
,,3,0.252,0,0,0,14,,,,,,,
,,3,0.26,0,0,0,15,,,,,,,
,,3,0.244,0,0,0,16,,,,,,,
,,3,0.244,0,0,0,17,,,,,,,
,,3,0.256,0,0,0,18,,,,,,,
,,3,0.238,0,0,0,19,,,,,,,
,,3,0.251,0,0,0,20,,,,,-73,17:44:17,000
,,3,0.266,0,0,0,21,,,,,,,
,,3,0.254,0,0,0,22,,,,,,,
,,3,0.261,0,0,0,23,,,,,,,
,,3,0.271,0,0,0,24,,,,,,,
,,3,0.269,0,0,0,25,,,,,,,
,,3,0.279,0,0,0,26,,,,,,,
,,3,0.278,0,0,0,27,,,,,,,
,,3,0.267,0,0,0,28,,,,,,,
,,3,0.262,0,0,0,29,,,,,,,
,,3,0.255,0,0,0,30,,,,,-73,17:44:17,182
,,3,0.245,0,0,0,31,,,,,,,
,,3,0.254,0,0,0,32,,,,,,,
,,3,0.25,0,0,0,33,,,,,,,
,,3,0.238,0,0,0,34,,,,,,,
,,3,0.241,0,0,0,35,,,,,,,
,,3,0.268,0,0,0,36,,,,,,,
,,3,0.272,0,0,0,37,,,,,,,
,,3,0.28,0,0,0,38,,,,,,,
,,3,0.298,0,0,0,39,,,,,,,
,,3,0.305,0,0,0,40,,,,,-73,17:44:17,423
,,3,0.301,0,0,0,41,,,,,,,
,,3,0.304,0,0,0,42,,,,,,,
,,3,0.288,0,0,0,43,,,,,,,
,,3,0.266,0,0,0,44,,,,,,,
,,3,0.272,0,0,0,45,,,,,,,
,,3,0.254,0,0,0,46,,,,,,,
,,3,0.226,0,0,0,47,,,,,,,
,,3,0.258,0,0,0,48,,,,,,,
,,3,0.239,0,0,0,49,,,,,,,
,,3,0.223,0,0,0,50,,,,,-73,17:44:17,600
,,3,0.187,0,0,0,51,,,,,,,
